Charles Whitney|1985-11-30|Europe|1
Megan Rivera|1970-05-15|Europe|2
Angela Kramer|1981-12-19|Europe|3
Mrs. Crystal Wood|2011-09-08|Europe|4
Kenneth Green|1980-12-15|Europe|5
Robert Carey|2018-06-22|Europe|6
Jessica Logan|1973-02-02|Europe|7
Latoya Davis|1990-03-30|Europe|8
Jason Russo|1988-12-27|Europe|9
Michael Curtis|1978-03-26|Europe|10
Tracey Case|2003-09-30|Europe|11
Mariah Pennington|1991-07-18|Europe|12
Vincent Powell|1995-12-20|Europe|13
Stanley Martinez|1993-02-08|Europe|14
Sarah Hayes|1995-12-24|Europe|15
Jonathan Taylor|2017-09-03|Europe|16
Luis Terrell|2010-10-16|Europe|17
Jason Reynolds|1975-07-03|Europe|18
Jennifer Larson|1971-10-16|Europe|19
Kevin Kelley|1995-08-06|Europe|20
Darrell Potter|1997-07-09|Europe|21
Kathleen Walker|2014-02-25|Europe|22
Debra Lee|1985-12-20|Europe|23
Jeffrey Jones|2013-01-17|Europe|24
Mrs. Sandy Harper|2013-02-13|Europe|25
Mary Mcgee|2006-05-16|Europe|26
Heidi Turner|2009-08-03|Europe|27
Alicia Navarro|2013-10-09|Europe|28
Brendan Moore|1987-01-07|Europe|29
Arthur Williams|1985-12-30|Europe|30
Mr. Christopher Cruz Jr.|1972-02-13|Europe|31
Jessica Lee|1997-11-06|Europe|32
Gloria Williams|2011-03-03|Europe|33
Kelly Cummings|1991-09-22|Europe|34
Erin Newman|1987-04-08|Europe|35
Christopher Gates|2010-05-12|Europe|36
Bryan Wright|2003-04-08|Europe|37
Jennifer Jefferson|1988-06-27|Europe|38
Connie Mendoza|1994-04-02|Europe|39
Scott Stewart|2015-02-25|Europe|40
Sherry Coleman|1976-07-14|Europe|41
Paul Hale|1990-06-06|Europe|42
Regina Smith|2010-06-16|Europe|43
Bryan Campbell|2001-01-30|Europe|44
Shelly Williams|2009-05-24|Europe|45
Kevin Ponce|1993-07-23|Europe|46
Samantha Boyd|1994-06-17|Europe|47
Chad Hughes|2014-09-29|Europe|48
Steven Choi|1970-08-12|Europe|49
James Perkins|1982-02-06|Europe|50
Danielle Marquez MD|1995-03-25|Europe|51
Barbara Anderson|1974-11-29|Europe|52
Patrick Clark|1984-04-01|Europe|53
Julie Howe|1996-10-17|Europe|54
Patrick Lowe|1974-05-19|Europe|55
Kelly Armstrong|2016-07-30|Europe|56
James Williams|2013-04-14|Europe|57
Shawn Kirby|1992-01-20|Europe|58
Brittany Adams|2017-06-30|Europe|59
Michael Miller|1978-12-22|Europe|60
William Williams|1980-08-16|Europe|61
Lori Diaz|1975-01-06|Europe|62
Sarah Obrien|1978-02-15|Europe|63
Jeremy Ayala|2018-05-29|Europe|64
Charlotte Miranda|2012-01-23|Europe|65
Rachel Thompson|2000-08-08|Europe|66
Abigail Nelson|1978-01-04|Europe|67
Jennifer Lee|2013-12-05|Europe|68
Richard Chen|1975-10-20|Europe|69
Nathaniel Thomas|2005-10-21|Europe|70
Kyle Jackson|2001-02-07|Europe|71
Jessica Gutierrez|2016-03-02|Europe|72
James Jensen|1995-01-21|Europe|73
Jacob Craig|2002-03-22|Europe|74
Karen Watkins|1984-12-23|Europe|75
Shelby Moses|1979-11-23|Europe|76
Julia Guerrero|2017-07-18|Europe|77
Deanna Rodriguez|2018-08-07|Europe|78
Tyler Espinoza|2002-05-05|Europe|79
Eric Summers|2017-10-04|Europe|80
Carrie Lloyd|2005-09-21|Europe|81
Mrs. Shannon Wright|2014-11-11|Europe|82
Nicholas Smith|1975-04-07|Europe|83
Cory Gonzales|2012-10-28|Europe|84
Heidi Williams|1999-03-08|Europe|85
Linda Elliott|2001-09-14|Europe|86
John Tucker|1997-09-23|Europe|87
Timothy Simon|2011-04-03|Europe|88
John Harris|2014-02-01|Europe|89
Christopher King|2008-12-12|Europe|90
Caroline Cooper|1998-05-03|Europe|91
Mitchell Spencer|1979-10-03|Europe|92
Lauren Solomon|2010-11-12|Europe|93
Dawn Alvarado|1985-09-21|Europe|94
Kevin Barrett|2009-04-15|Europe|95
Daniel Matthews|1977-09-04|Europe|96
Karen Ayala|1970-01-09|Europe|97
Mary Ortega|1987-05-17|Europe|98
Jeffrey Anderson|2000-12-06|Europe|99
Jacob Green|1979-03-17|Europe|100
Jacob Lewis|1979-03-24|Europe|101
Elizabeth Rodriguez|1976-04-09|Europe|102
Peggy Potter|1970-05-06|Europe|103
Preston Rodriguez|1980-11-21|Europe|104
Gary Lewis|1979-07-08|Europe|105
Grace Phillips|2000-06-24|Europe|106
Jose Taylor|1993-07-14|Europe|107
Robert Lewis|1998-07-05|Europe|108
Craig Smith|2009-10-23|Europe|109
Christopher Glover|1973-03-09|Europe|110
Amy Jones|1970-08-28|Europe|111
Jennifer Carroll|2010-10-02|Europe|112
David Mann|2016-08-13|Europe|113
Gabrielle Pittman|2013-03-20|Europe|114
James Waters|2004-03-22|Europe|115
Michael Hanna|2009-03-21|Europe|116
Paul Floyd|2003-11-19|Europe|117
Erica Levine|2005-09-17|Europe|118
Jermaine Smith|1995-08-12|Europe|119
Mark Rogers|1974-05-26|Europe|120
Kelly Townsend|1973-07-29|Europe|121
Martha Johnson|2008-08-11|Europe|122
Brenda Rice|1984-05-05|Europe|123
James Hall|1999-01-28|Europe|124
Holly Le|1982-05-18|Europe|125
Kimberly Rodriguez|1978-01-21|Europe|126
Andrew Williams|1991-12-24|Europe|127
Harold Carlson|1999-08-09|Europe|128
Amy Cohen|1977-02-02|Europe|129
Kristine Howell|1976-07-01|Europe|130
Gwendolyn Padilla|2013-01-06|Europe|131
Shelly Graham|2004-09-29|Europe|132
Mary Kelly|2013-12-27|Europe|133
Elizabeth Reid|2003-11-21|Europe|134
John Johnson|2007-05-29|Europe|135
Mary Browning|1999-08-30|Europe|136
Kristin Brown|1999-10-22|Europe|137
Jeffery Taylor|2013-03-30|Europe|138
David Armstrong|2013-03-21|Europe|139
Edward Robbins|2018-10-04|Europe|140
Jason Ramos|1977-06-13|Europe|141
Juan Barajas|2009-02-26|Europe|142
Kenneth Long|2009-08-29|Europe|143
Brett Alvarez|2011-08-29|Europe|144
Holly Hansen|2011-02-25|Europe|145
Heather Fleming|2001-02-26|Europe|146
Rebekah Cruz|1982-05-20|Europe|147
Christina Moyer|2001-10-31|Europe|148
Vincent Wall|1996-12-09|Europe|149
Chad Myers MD|1997-06-28|Europe|150
Evan Jordan|1974-03-21|Europe|151
Suzanne Gordon|2007-03-22|Europe|152
Sean Miller|2010-08-12|Europe|153
Michael Brown|1995-10-18|Europe|154
Jennifer Mccarthy|1993-01-12|Europe|155
Yolanda Russell|1982-10-26|Europe|156
Kevin Davis|1999-07-29|Europe|157
Julie Campbell|2001-02-10|Europe|158
Angela Fisher|1992-07-12|Europe|159
Lauren Wilson|2004-04-18|Europe|160
Holly Griffith|2001-06-25|Europe|161
